Date,Advances,Declines
01/01/2025,36,14
02/01/2025,36,14
03/01/2025,39,11
04/01/2025,37,13
05/01/2025,36,14
06/01/2025,36,14
07/01/2025,40,10
08/01/2025,37,13
09/01/2025,37,13
10/01/2025,35,15
11/01/2025,35,15
12/01/2025,36,14
13/01/2025,36,14
14/01/2025,39,11
15/01/2025,36,14
16/01/2025,39,11
17/01/2025,37,13
18/01/2025,36,14
19/01/2025,40,10
20/01/2025,40,10
21/01/2025,35,15
22/01/2025,35,15
23/01/2025,40,10
24/01/2025,40,10
25/01/2025,39,11
26/01/2025,40,10
27/01/2025,35,15
28/01/2025,39,11
29/01/2025,39,11
30/01/2025,40,10
31/01/2025,40,10
01/02/2025,39,11
02/02/2025,39,11
03/02/2025,35,15
04/02/2025,39,11
05/02/2025,37,13
06/02/2025,40,10
07/02/2025,38,12
08/02/2025,38,12
09/02/2025,35,15
10/02/2025,37,13
11/02/2025,36,14
12/02/2025,35,15
13/02/2025,38,12
14/02/2025,40,10
15/02/2025,36,14
16/02/2025,38,12
17/02/2025,40,10
18/02/2025,39,11
19/02/2025,37,13
20/02/2025,38,12
21/02/2025,40,10
22/02/2025,36,14
23/02/2025,37,13
24/02/2025,38,12
25/02/2025,39,11
26/02/2025,40,10
27/02/2025,36,14
28/02/2025,37,13
01/03/2025,35,15
02/03/2025,35,15
03/03/2025,38,12
04/03/2025,37,13
05/03/2025,37,13
06/03/2025,39,11
07/03/2025,37,13
08/03/2025,40,10
09/03/2025,37,13
10/03/2025,36,14
11/03/2025,37,13
12/03/2025,37,13
13/03/2025,40,10
14/03/2025,36,14
15/03/2025,39,11
16/03/2025,35,15
17/03/2025,40,10
18/03/2025,38,12
19/03/2025,37,13
20/03/2025,35,15
21/03/2025,40,10
22/03/2025,39,11
23/03/2025,36,14
24/03/2025,35,15
25/03/2025,36,14
26/03/2025,36,14
27/03/2025,40,10
28/03/2025,39,11
29/03/2025,38,12
30/03/2025,38,12
31/03/2025,35,15
01/04/2025,39,11
02/04/2025,38,12
03/04/2025,35,15
04/04/2025,36,14
05/04/2025,36,14
06/04/2025,39,11
07/04/2025,39,11
08/04/2025,38,12
09/04/2025,40,10
10/04/2025,38,12
11/04/2025,37,13
12/04/2025,36,14
13/04/2025,36,14
14/04/2025,36,14
15/04/2025,40,10
16/04/2025,40,10
17/04/2025,36,14
18/04/2025,39,11
19/04/2025,37,13
20/04/2025,35,15
21/04/2025,38,12
22/04/2025,39,11
23/04/2025,38,12
24/04/2025,35,15
25/04/2025,37,13
26/04/2025,35,15
27/04/2025,35,15
28/04/2025,36,14
29/04/2025,38,12
30/04/2025,39,11
01/05/2025,39,11
02/05/2025,36,14
03/05/2025,39,11
04/05/2025,35,15
05/05/2025,37,13
06/05/2025,35,15
07/05/2025,36,14
08/05/2025,38,12
09/05/2025,37,13
10/05/2025,36,14
11/05/2025,40,10
12/05/2025,39,11
13/05/2025,39,11
14/05/2025,38,12
15/05/2025,37,13
16/05/2025,38,12
17/05/2025,35,15
